"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
"        Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,52.5,51.1,0.0,0.0,-1.4,-2.7,0.3,5.2,"44,310",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,57.2,58.7,0.0,0.0,1.6,2.7,—,5.8,"42,670",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,15.2,15.5,0.0,0.0,0.3,2.0,3.1,1.6,"45,640",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,595.5,577.7,0.4,0.3,-17.8,-3.0,1.3,65.2,"45,850",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Jewelers and precious stone and metal workers,51-9071,Line item,46.2,44.5,0.0,0.0,-1.7,-3.7,47.7,5.4,"47,450",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
      Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Summary,67.0,66.3,0.0,0.0,-0.7,-1.0,3.4,7.2,"44,640",—,—,—,—
        Dental laboratory technicians,51-9081,Line item,35.1,33.7,0.0,0.0,-1.5,-4.2,3.4,3.6,"47,690",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Medical appliance technicians,51-9082,Line item,13.0,13.5,0.0,0.0,0.5,3.9,3.4,1.5,"44,960",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Ophthalmic laboratory technicians,51-9083,Line item,18.9,19.2,0.0,0.0,0.3,1.6,3.4,2.1,"37,720",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Packaging and filling machine operators and tenders,51-9111,Line item,367.9,392.5,0.2,0.2,24.6,6.7,0.1,43.9,"38,330",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Painting workers,51-9120,Summary,179.4,181.5,0.1,0.1,2.2,1.2,5.9,16.9,"45,340",—,—,—,—
"        Painting, coating, and decorating workers",51-9123,Line item,11.4,11.6,0.0,0.0,0.2,1.5,5.8,1.1,"40,230",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
"        Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,167.9,169.9,0.1,0.1,2.0,1.2,5.9,15.8,"45,560",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Semiconductor processing technicians,51-9141,Line item,26.6,30.1,0.0,0.0,3.4,13.0,—,3.4,"45,850",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Photographic process workers and processing machine operators,51-9151,Line item,9.2,9.4,0.0,0.0,0.1,1.5,38.3,1.3,"35,620",High school diploma or equivalent,None,Short-term on-the-job training,—
      Computer numerically controlled tool operators and programmers,51-9160,Summary,218.2,204.9,0.1,0.1,-13.3,-6.1,0.2,18.5,"49,690",—,—,—,—
        Computer numerically controlled tool operators,51-9161,Line item,189.9,172.4,0.1,0.1,-17.5,-9.2,0.2,15.2,"48,550",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Computer numerically controlled tool programmers,51-9162,Line item,28.3,32.5,0.0,0.0,4.2,14.9,0.2,3.3,"63,440",Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content
      Miscellaneous production workers,51-9190,Summary,660.8,643.6,0.4,0.4,-17.2,-2.6,4.8,78.1,"38,750",—,—,—,—
        Adhesive bonding machine operators and tenders,51-9191,Line item,12.5,12.4,0.0,0.0,-0.1,-0.5,—,1.2,"43,540",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,15.8,16.6,0.0,0.0,0.7,4.5,5.8,1.8,"39,340",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Cooling and freezing equipment operators and tenders,51-9193,Line item,7.1,7.8,0.0,0.0,0.7,9.4,5.5,0.9,"42,420",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Etchers and engravers,51-9194,Line item,11.7,11.9,0.0,0.0,0.3,2.3,30.2,1.5,"40,040",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Molders, shapers, and casters, except metal and plastic",51-9195,Line item,49.2,51.8,0.0,0.0,2.6,5.3,21.4,6.6,"43,310",High school diploma or equivalent,None,Long-term on-the-job training,—
"        Paper goods machine setters, operators, and tenders",51-9196,Line item,95.2,83.3,0.1,0.0,-11.9,-12.5,—,8.0,"47,250",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Tire builders,51-9197,Line item,20.7,21.3,0.0,0.0,0.6,3.1,—,2.6,"54,080",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Helpers--production workers,51-9198,Line item,183.5,168.4,0.1,0.1,-15.2,-8.3,0.9,25.9,"36,700",High school diploma or equivalent,None,Short-term on-the-job training,—
"        Production workers, all other",51-9199,Line item,265.1,270.1,0.2,0.2,5.0,1.9,5.6,29.6,"37,430",High school diploma or equivalent,None,Moderate-term on-the-job training,—
  Transportation and material moving occupations,53-0000,Summary,"14,315.1","15,000.1",8.5,8.6,685.1,4.8,3.9,"1,892.9","40,050",—,—,—,—
    Supervisors of transportation and material moving workers,53-1000,Summary,603.1,635.3,0.4,0.4,32.2,5.3,0.1,63.7,"60,500",—,—,—,—
      Aircraft cargo handling supervisors,53-1041,Line item,9.1,9.7,0.0,0.0,0.7,7.7,—,1.0,"58,920",High school diploma or equivalent,Less than 5 years,None,—
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Line item,594.1,625.6,0.4,0.4,31.5,5.3,0.1,62.7,"60,510",High school diploma or equivalent,Less than 5 years,None,—
    Air transportation workers,53-2000,Summary,325.8,348.5,0.2,0.2,22.7,7.0,1.3,42.1,"97,320",—,—,—,—
      Aircraft pilots and flight engineers,53-2010,Summary,152.8,160.9,0.1,0.1,8.0,5.3,2.4,18.5,"171,210",—,—,—,—
"        Airline pilots, copilots, and flight engineers",53-2011,Line item,96.3,101.1,0.1,0.1,4.8,5.0,—,11.6,"219,140",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content
        Commercial pilots,53-2012,Line item,56.5,59.7,0.0,0.0,3.2,5.7,6.6,6.9,"113,080",Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content
      Air traffic controllers and airfield operations specialists,53-2020,Summary,42.7,44.4,0.0,0.0,1.7,4.0,—,4.0,"91,290",—,—,—,—
        Air traffic controllers,53-2021,Line item,24.0,24.7,0.0,0.0,0.7,2.9,—,2.2,"137,380",Associate's degree,None,Long-term on-the-job training,OOH Content
        Airfield operations specialists,53-2022,Line item,18.7,19.7,0.0,0.0,1.0,5.3,—,1.8,"51,140",High school diploma or equivalent,None,Long-term on-the-job training,—
      Flight attendants,53-2031,Line item,130.3,143.2,0.1,0.1,12.9,9.9,0.3,19.5,"68,370",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
    Motor vehicle operators,53-3000,Summary,"4,858.0","5,164.9",2.9,3.0,306.9,6.3,9.3,570.4,"47,490",—,—,—,—
"      Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,11.6,11.6,0.0,0.0,0.0,-0.1,—,1.5,"32,580",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Driver/sales workers and truck drivers,53-3030,Summary,"3,807.2","4,051.6",2.3,2.3,244.4,6.4,6.6,424.1,"48,120",—,—,—,—
        Driver/sales workers,53-3031,Line item,503.2,549.3,0.3,0.3,46.1,9.2,6.6,58.1,"35,420",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
        Heavy and tractor-trailer truck drivers,53-3032,Line item,"2,211.3","2,313.4",1.3,1.3,102.0,4.6,6.6,240.3,"54,320",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
        Light truck drivers,53-3033,Line item,"1,092.6","1,188.9",0.7,0.7,96.3,8.8,6.6,125.6,"42,470",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Passenger vehicle drivers,53-3050,Summary,952.7,"1,008.0",0.6,0.6,55.3,5.8,17.7,131.9,"44,080",—,—,—,—
"        Bus drivers, school",53-3051,Line item,365.3,368.9,0.2,0.2,3.6,1.0,0.4,55.1,"45,660",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"        Bus drivers, transit and intercity",53-3052,Line item,194.1,204.1,0.1,0.1,10.1,5.2,1.1,24.7,"60,170",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Shuttle drivers and chauffeurs,53-3053,Line item,222.3,241.3,0.1,0.1,19.0,8.5,5.3,32.1,"35,240",No formal educational credential,None,Short-term on-the-job training,OOH Content
        Taxi drivers,53-3054,Line item,171.1,193.8,0.1,0.1,22.7,13.3,89.7,20.0,"34,680",No formal educational credential,None,Short-term on-the-job training,OOH Content
"      Motor vehicle operators, all other",53-3099,Line item,86.5,93.6,0.1,0.1,7.1,8.3,38.9,13.0,"35,690",No formal educational credential,None,Short-term on-the-job training,—
    Rail transportation workers,53-4000,Summary,100.4,102.4,0.1,0.1,2.0,2.0,—,9.0,"73,890",—,—,—,—
      Locomotive engineers and operators,53-4010,Summary,29.9,30.3,0.0,0.0,0.4,1.2,—,2.5,"74,360",—,—,—,—
        Locomotive engineers,53-4011,Line item,27.5,27.9,0.0,0.0,0.4,1.3,—,2.3,"74,770",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
"        Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,2.4,2.4,0.0,0.0,0.0,0.5,—,0.2,"57,070",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,12.0,12.1,0.0,0.0,0.2,1.5,—,1.1,"63,540",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Railroad conductors and yardmasters,53-4031,Line item,41.1,41.9,0.0,0.0,0.8,1.9,—,3.7,"71,130",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Subway and streetcar operators,53-4041,Line item,15.4,16.0,0.0,0.0,0.7,4.2,—,1.5,"84,270",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Rail transportation workers, all other",53-4099,Line item,1.9,2.0,0.0,0.0,0.1,3.5,—,0.2,"44,660",High school diploma or equivalent,None,Moderate-term on-the-job training,—
    Water transportation workers,53-5000,Summary,85.0,87.5,0.1,0.1,2.5,3.0,5.6,9.7,"64,930",—,—,—,—
      Sailors and marine oilers,53-5011,Line item,32.1,33.2,0.0,0.0,1.1,3.5,—,3.8,"48,400",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
      Ship and boat captains and operators,53-5020,Summary,43.4,44.4,0.0,0.0,1.1,2.4,11.0,4.7,"82,630",—,—,—,—
"        Captains, mates, and pilots of water vessels",53-5021,Line item,40.2,41.2,0.0,0.0,0.9,2.3,11.0,4.4,"88,730",Postsecondary nondegree award,Less than 5 years,None,OOH Content
        Motorboat operators,53-5022,Line item,3.1,3.2,0.0,0.0,0.1,3.4,10.3,0.3,"46,420",Postsecondary nondegree award,Less than 5 years,None,OOH Content
      Ship engineers,53-5031,Line item,9.5,9.8,0.0,0.0,0.3,3.4,—,1.1,"94,270",Postsecondary nondegree award,Less than 5 years,None,OOH Content
    Other transportation workers,53-6000,Summary,314.7,325.9,0.2,0.2,11.2,3.6,1.3,45.5,"35,020",—,—,—,—
      Bridge and lock tenders,53-6011,Line item,3.6,3.6,0.0,0.0,0.0,0.5,—,0.4,"49,120",High school diploma or equivalent,None,Short-term on-the-job training,—
      Parking attendants,53-6021,Line item,120.9,127.3,0.1,0.1,6.4,5.3,0.7,18.6,"32,840",No formal educational credential,None,Short-term on-the-job training,—
      Transportation service attendants,53-6030,Summary,119.8,121.2,0.1,0.1,1.5,1.2,0.6,18.4,"35,000",—,—,—,—
        Automotive and watercraft service attendants,53-6031,Line item,94.6,94.5,0.1,0.1,-0.1,-0.1,0.6,14.3,"33,820",No formal educational credential,None,Short-term on-the-job training,—
        Aircraft service attendants,53-6032,Line item,25.2,26.7,0.0,0.0,1.6,6.2,0.6,4.1,"39,110",High school diploma or equivalent,None,Short-term on-the-job training,—
      Traffic technicians,53-6041,Line item,7.8,8.2,0.0,0.0,0.3,4.2,—,0.8,"52,240",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Transportation inspectors,53-6051,Line item,29.7,30.8,0.0,0.0,1.2,3.9,3.5,2.9,"87,290",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Passenger attendants,53-6061,Line item,21.6,22.9,0.0,0.0,1.3,5.8,6.3,3.3,"35,620",High school diploma or equivalent,None,Short-term on-the-job training,—
"      Transportation workers, all other",53-6099,Line item,11.3,11.9,0.0,0.0,0.6,5.3,1.6,1.2,"40,300",High school diploma or equivalent,None,Short-term on-the-job training,—
    Material moving workers,53-7000,Summary,"8,028.1","8,335.7",4.8,4.8,307.6,3.8,1.1,"1,152.5","37,290",—,—,—,—
      Conveyor operators and tenders,53-7011,Line item,30.4,30.1,0.0,0.0,-0.3,-0.9,20.9,2.8,"39,260",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Crane and tower operators,53-7021,Line item,42.6,44.2,0.0,0.0,1.6,3.7,—,4.1,"64,690",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content
      Dredge operators,53-7031,Line item,1.2,1.2,0.0,0.0,0.0,2.1,17.6,0.1,"50,440",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Hoist and winch operators,53-7041,Line item,2.7,2.7,0.0,0.0,0.0,-0.5,18.2,0.3,"55,950",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Industrial truck and tractor operators,53-7051,Line item,770.8,791.9,0.5,0.5,21.2,2.7,0.2,78.2,"44,470",No formal educational credential,None,Short-term on-the-job training,OOH Content
      Laborers and material movers,53-7060,Summary,"6,957.3","7,237.0",4.1,4.1,279.7,4.0,1.0,"1,041.0","36,720",—,—,—,—
        Cleaners of vehicles and equipment,53-7061,Line item,402.7,420.6,0.2,0.2,17.8,4.4,7.6,56.5,"34,150",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Laborers and freight, stock, and material movers, hand",53-7062,Line item,"3,004.8","3,130.6",1.8,1.8,125.7,4.2,1.0,409.0,"37,660",No formal educational credential,None,Short-term on-the-job training,OOH Content
        Machine feeders and offbearers,53-7063,Line item,43.8,38.2,0.0,0.0,-5.6,-12.7,—,5.1,"39,250",No formal educational credential,None,Short-term on-the-job training,OOH Content
"        Packers and packagers, hand",53-7064,Line item,641.3,614.3,0.4,0.4,-26.9,-4.2,0.6,84.5,"34,830",No formal educational credential,None,Short-term on-the-job training,OOH Content
        Stockers and order fillers,53-7065,Line item,"2,864.7","3,033.3",1.7,1.7,168.6,5.9,0.1,485.8,"36,390",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
      Pumping station operators,53-7070,Summary,35.5,35.8,0.0,0.0,0.2,0.7,—,3.8,"62,530",—,—,—,—
        Gas compressor and gas pumping station operators,53-7071,Line item,4.5,4.5,0.0,0.0,0.1,1.2,—,0.5,"61,870",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Pump operators, except wellhead pumpers",53-7072,Line item,11.7,12.3,0.0,0.0,0.6,5.0,—,1.3,"54,690",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Wellhead pumpers,53-7073,Line item,19.4,19.0,0.0,0.0,-0.4,-2.0,—,2.0,"71,830",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—
      Refuse and recyclable material collectors,53-7081,Line item,148.4,151.9,0.1,0.1,3.5,2.3,4.2,18.0,"45,760",No formal educational credential,None,Short-term on-the-job training,OOH Content
"      Tank car, truck, and ship loaders",53-7121,Line item,12.7,13.2,0.0,0.0,0.5,3.9,7.2,1.4,"58,620",No formal educational credential,None,Short-term on-the-job training,—
"      Material moving workers, all other",53-7199,Line item,26.5,27.6,0.0,0.0,1.2,4.4,6.8,3.0,"40,310",No formal educational credential,None,Short-term on-the-job training,—
Footnotes:,,,,,,,,,,,,,,,
"[1] Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,,,,,,,,,,
"Note: Data is unavailable for values denoted with a ""—"".",,,,,,,,,,,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,,,,,,,,,,
